Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,Read Count
6990472,"If I Stay (If I Stay, #1)",Gayle Forman,014241543X,9.78014E+12,3,3.93,Speak,Paperback,261,2010,20-12-20,08-08-20,mount-crumpit,1
62022,The Queen's Gambit,Walter Tevis,1400030609,9.7814E+12,0,4.21,Vintage,Paperback,258,2003,,13-12-20,to-read,0
51822870,Everything Beautiful in Its Time: Seasons of Love and Loss,Jenna Bush Hager,62960628,9.78006E+12,0,4.28,William Morrow,Hardcover,228,2020,,26-11-20,to-read,0
26082916,"Ready Player Two (Ready Player One, #2)",Ernest Cline,1524761338,9.78152E+12,0,3.43,Ballantine Books,Hardcover,370,2020,,20-11-20,to-read,0
55359022,A Promised Land,Barack Obama,1524763160,9.78152E+12,0,4.36,Crown Publishing Group,Hardcover,751,2020,,19-10-20,to-read,0
45045129,Tweet Cute,Emma Lord,1250237327,9.78125E+12,0,3.97,Wednesday Books,Hardcover,368,2020,,01-11-20,to-read,0
50998813,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More",Sarah Kieffer,1452180733,9.78145E+12,0,3.79,Chronicle Books,Hardcover,304,2020,,01-11-20,to-read,0
52767659,The End of Everything (Astrophysically Speaking),Katie  Mack,198210354X,9.78198E+12,0,4.26,Scribner,Hardcover,226,2020,,01-11-20,to-read,0
50892287,In a Holidaze,Christina Lauren,198212394X,9.78198E+12,0,3.74,Gallery Books,Paperback,307,2020,,01-11-20,to-read,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,765387565,9.78077E+12,0,4.23,Tor Books,Hardcover,444,2020,,01-11-20,to-read,0
45992717,The Mirror & the Light (Thomas Cromwell #3),Hilary Mantel,805096604,9.78081E+12,0,4.39,Henry Holt and Company,Hardcover,757,2020,,01-11-20,to-read,0
52762903,The Book of Lost Names,Kristin Harmel,1982131896,9.78198E+12,0,4.39,Gallery Books,Hardcover,388,2020,,01-11-20,to-read,0
619590,Bayesian Data Analysis,Andrew Gelman,158488388X,9.78158E+12,0,4.24,CRC Press,Hardcover,690,2003,,20-10-20,to-read,0
51110517,One Day In Summer,Shari Low,,,0,4.32,Boldwood Books,Kindle Edition,324,2020,,15-10-20,to-read,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,,,0,4.16,Tor.com,ebook,144,2017,,12-10-20,to-read,0
39901937,"Vodka Soup for the Widowed Soul: Stories of Grief, Alcohol, Infidelity, Cursing, and Hope",Michelle Miller,1981880437,9.78198E+12,0,4.77,CreateSpace Independent Publishing Platform,Paperback,290,2018,,11-10-20,to-read,0
32453160,"Boys, Booze, and Bathroom Floors: Forty-Six Tales about the Collision of Suicide Grief and Dating",Michelle Miller,1535510730,9.78154E+12,0,4.42,Create Space,Paperback,133,2016,,11-10-20,to-read,0
7741325,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,375866590,9.78038E+12,0,3.76,Knopf Books for Young Readers,Hardcover,260,2010,,10-10-20,to-read,0
50855956,"Shine (Shine, #1)",Jessica Jung,1534462511,9.78153E+12,0,3.46,Simon Pulse,Hardcover,352,2020,,09-10-20,to-read,0
52750982,Rebel: A Legend Novel,Marie Lu,1250620880,9.78125E+12,0,4.1,Square Fish,Paperback,400,2020,,01-10-20,to-read,0
23742842,The Wonderful Things You Will Be,Emily Winfield Martin,385376715,9.78039E+12,0,4.41,Random House Books for Young Readers,Hardcover,36,2015,,26-09-20,to-read,0
53174067,"Skyhunter (Skyhunter, #1)",Marie Lu,1250221684,9.78125E+12,0,4.08,Roaring Brook Press,Hardcover,371,2020,,31-08-20,to-read,0
11736995,"Where She Went (If I Stay, #2)",Gayle Forman,142420891,9.78014E+12,4,4,Speak,Paperback,264,2012,08-08-20,05-08-20,holly-golightly,1
40605223,I'm Thinking of Ending Things,Iain Reid,,,0,3.59,Gallery/Scout Press,Kindle Edition,241,2016,,08-08-20,to-read,0
49127718,Anxious People,Fredrik Backman,198216963X,9.78198E+12,0,4.2,Atria Books,Hardcover,336,2020,,05-08-20,to-read,0
227235,Seuss-isms  ,Dr. Seuss,679883568,9.78068E+12,4,4.29,Random House Books for Young Readers,Hardcover,32,1997,01-08-20,01-08-20,holly-golightly,1
41580312,Be Here Now,Ram Dass,,,0,4.3,HarperOne,Kindle Edition,116,2010,,29-07-20,to-read,0
51037979,In an Instant,Suzanne Redfearn,,,0,4.36,Lake Union Publishing,Kindle Edition,326,2020,,24-07-20,to-read,0
147865,"Love, Rosie",Cecelia Ahern,786891084,9.78079E+12,5,3.94,Hachette Books,Paperback,512,2006,21-07-20,15-12-18,breakfast-at-tiffany-s,1
37506437,"Darius the Great Is Not Okay (Darius The Great, #1)",Adib Khorram,525552960,9.78053E+12,0,4.28,Dial Books,Hardcover,316,2018,,21-07-20,to-read,0
48989372,A Very Punchable Face,Colin Jost,1101906324,9.7811E+12,0,4.22,Crown Publishing Group (NY),Hardcover,312,2020,,16-07-20,to-read,0
50794839,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,1338635174,9.78134E+12,0,3.82,Scholastic Press,Hardcover,528,2020,,08-07-20,to-read,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,525562028,9.78053E+12,0,4.05,Penguin Press,Hardcover,246,2019,,08-07-20,to-read,0
52940153,Gimme Everything You Got,Iva-Marie Palmer,62937251,9.78006E+12,0,4.01,Balzer + Bray,Hardcover,400,2020,,03-07-20,to-read,0
45306303,You Say It First,Katie Cotugno,62674145,9.78006E+12,0,3.46,Balzer + Bray,ebook,368,2020,,03-07-20,to-read,0
6081261,What I Wish I Knew When I Was 20,Tina Seelig,61735191,9.78006E+12,0,3.83,HarperOne,Hardcover,184,2009,,01-07-20,to-read,0
50093704,In Five Years,Rebecca Serle,1982137444,9.78198E+12,0,3.82,Atria Books,Hardcover,255,2020,,01-06-20,to-read,0
11367726,Defending Jacob,William Landay,385344228,9.78039E+12,0,3.99,Delacorte Press,Hardcover,421,2012,,25-04-20,to-read,0
12691,Marley and Me: Life and Love With the World's Worst Dog,John Grogan,739461192,9.78074E+12,4,4.13,William Morrow; 1ST edition,Hardcover,291,2005,19-04-20,10-03-20,mount-crumpit,1
